Partner,export,import
australia,12007088826.0,91483730674.0
austria,329755354.0,1584741104.0
belgium,4130590690.0,2365409755.0
brazil,6568260081.0,75469885211.0
canada,8880524881.0,16266021338.0
chile,4330452553.0,26278846029.0
china,0.0,4952412469.0
czechia,569858630.0,598663133.0
denmark,1066396539.0,1348361002.0
estonia,228998482.0,117999810.0
finland,678097919.0,2689698226.0
france,4658190975.0,4293637378.0
germany,12063035607.0,11715418361.0
greece,1348989725.0,323547172.0
hungary,377452424.0,314405344.0
iceland,110530773.0,149920879.0
india,14137652536.0,11693061232.0
ireland,482541993.0,1139047268.0
israel,2602040050.0,696193980.0
italy,7542151617.0,3823932081.0
japan,32803095731.0,28078917715.0
latvia,290094502.0,173909630.0
lithuania,541135067.0,163253868.0
luxembourg,92479792.0,169352518.0
mexico,8324143931.0,4561945167.0
netherlands,8598819933.0,4759185036.0
new zealand,1511611016.0,9994919140.0
norway,654429195.0,1575853175.0
poland,3623531432.0,1334861390.0
portugal,1087428808.0,415895592.0
rep. of korea,26467652994.0,27245582044.0
slovakia,222080607.0,70838998.0
slovenia,1028220019.0,112353743.0
spain,5338418449.0,4082154652.0
sweden,1514363342.0,2308442182.0
switzerland,410306006.0,775654027.0
turkey,4983284734.0,2291731755.0
united kingdom,10660995736.0,7801448770.0
usa,67308015066.0,44356048241.0
